article_id,ApproximateTitle,major_issue,study_type,preregistered,synthesised,other_data,analysis,robust_check,materials,replication,coi,materials_location,materials_access,prereg_location,prereg_access,prereg_aspects,analysis_location,analysis_access,other_data_location,other_data_access,other_data_type,synth_docu,synth_location,synth_access,year,coder1,coder2,isOA
811,Prenatal paracetamol exposure and child neurodevelopment: a sibling-controlled cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Ivana,Timo,Yes
841,Ambient air pollution and low birthweight: a European cohort study (ESCAPE).,no issues,Data synthesis - Meta-analysis.,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Ivana,Timo,No
846,Maternal caffeine intake during pregnancy is associated with birth weight but not with gestational length: results from a large prospective observational cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Ivana,Timo,Yes
860,Little evidence that time in child care causes externalizing problems during early childhood in Norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Timo,Ivana,Yes
862,Experience of childbirth in first-time mothers of advanced age - a Norwegian population-based study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,Ivana,Timo,Yes
896,Cytomegalovirus antibody status at 17-18 weeks of gestation and pre-eclampsia: a case-control study of pregnant women in Norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,power,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,Ivana,Timo,Yes
897,Food patterns and dietary quality associated with organic food consumption during pregnancy; data from a large cohort of pregnant women in Norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,Timo,Ivana,Yes
915,Occurrence and Predictors of Developmental Impairments in 3-Year-Old Children with Congenital Heart Defects.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Ivana,Timo,No
926,Diet before pregnancy and the risk of hyperemesis gravidarum.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,authors point to third party,no,statement says no,Personal or institutional website,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Timo,Ivana,Yes
933,Candidate gene analysis of spontaneous preterm delivery: New insights from re-analysis of a case-control study using case-parent triads and control-mother dyads.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,authors point to third party,no,statement says no,Available from a third party,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,Ivana,Timo,Yes
958,"Exercise During Pregnancy, Maternal Prepregnancy Body Mass Index, and Birth Weight.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,Ivana,Timo,Yes
973,Characteristics associated with organic food consumption during pregnancy; data from a large cohort of pregnant women in Norway.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,Timo,Ivana,Yes
987,Association between regular exercise and excessive newborn birth weight.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,Ivana,Timo,Yes
991,The effect of recurrent miscarriage and infertility on the risk of pre-eclampsia.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,Timo,Ivana,No
992,The effect of urinary incontinence status during pregnancy and delivery mode on incontinence postpartum. A cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,Ivana,Timo,Yes
1007,Baby swimming and respiratory health.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,Ivana,Timo,Yes
1014,"Urine flavonoids and plasma carotenoids in the validation of fruit, vegetable and tea intake during pregnancy in the Norwegian Mother and Child Cohort Study (MoBa).",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,Timo,Ivana,Yes
1020,Islet autoantibody development during follow-up of high-risk children from the general Norwegian population from three months of age: design and early results from the MIDIA study.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,Ivana,Timo,No
10,Child internalizing and externalizing behaviors: interplay between maternal depressive symptoms and child inhibitory control.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Agata,Julien,Yes
60,"Infant colic, young children's temperament and sleep in a population based longitudinal cohort study.",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Agata,Julien,Yes
65,Social and genetic associations with educational performance in a Scandinavian welfare state.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,freely available,no,statement says no,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Julien,Agata,Yes
69,"Association of sweetened carbonated beverage consumption during pregnancy and ADHD symptoms in the offspring: a study from the Norwegian Mother, Father and Child Cohort Study (MoBa).",no issues,Secondary analysis of MoBa data,No,No,no,upon request,no,no,no,statement says yes,NA,NA,NA,NA,NA,Upon request from the authors,No,NA,NA,NA,NA,NA,NA,2022,Julien,Agata,Yes
79,Associations between poor gross and fine motor skills in pre-school and peer victimization concurrently and longitudinally with follow-up in school age - results from a population-based study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Julien,Agata,Yes
90,Urinary metabolic biomarkers of diet quality in European children are associated with metabolic health.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Agata,Julien,Yes
93,"The effect of maternal BMI, smoking and alcohol on congenital heart diseases: a Mendelian randomization study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,Julien,Agata,Yes
105,Geographical variation in ADHD: do diagnoses reflect symptom levels?,no issues,Secondary analysis of MoBa data,No,No,yes,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,Supplementary materials hosted by the journal,Yes,metadata,NA,NA,NA,2023,Julien,Agata,Yes
132,Does exposure to organophosphate esters during pregnancy increase the risk of attention-deficit hyperactivity disorder in offspring?,not a full article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agata,Julien,Yes
160,Validation and short-form development of Conflict and Problem-solving Strategy Scales.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,Julien,Agata,Yes
174,Prenatal exposure to a wide range of environmental chemicals and child behaviour between 3 and 7 years of age – An exposome-based approach in 5 European cohorts.,no issues,Secondary analysis of MoBa data,No,No,no,authors point to third party,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,"An online, third-party repository (e.g. OSF, GitHub, FigShare, etc.)",Yes,NA,NA,NA,NA,NA,NA,2021,Julien,Agata,Yes
192,"Associations Between Language Difficulties, Peer Victimization, and Bully Perpetration From 3 Through 8 Years of Age: Results From a Population-Based Study.",no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,freely available,no,statement says no,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Agata,Julien,Yes
196,Prenatal and postnatal exposure to PFAS and cardiometabolic factors and inflammation status in children from six European cohorts.,no issues,Unclear,NA,NA,NA,NA,NA,NA,NA,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Agata,Julien,Yes
203,Prenatal exposure to per- and polyfluoroalkyl substances (PFAS) and associations with attention-deficit/hyperactivity disorder and autism spectrum disorder in children.,no issues,Secondary analysis of MoBa data,No,No,yes,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,Supplementary materials hosted by the journal,Yes,metadata,NA,NA,NA,2021,Agata,Julien,Yes
207,"Functional Outcomes of Children Identified Early in the Developmental Period as at Risk for ASD Utilizing the The Norwegian Mother, Father and Child Cohort Study (MoBa).",no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Agata,Julien,Yes
223,Associations between poor gross and fine motor skills in pre-school and peer victimization concurrently and longitudinally with follow-up in school age – results from a population-based study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,freely available,no,statement says no,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,Agata,Julien,Yes
230,Association between the pregnancy exposome and fetal growth.,no issues,Secondary analysis of MoBa data,No,No,no,authors point to third party,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,Supplementary materials hosted by the journal,Yes,NA,NA,NA,NA,NA,NA,2020,Agata,Julien,Yes
275,Maternal fibre and gluten intake during pregnancy and risk of childhood celiac disease: the MoBa study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Agata,Julien,Yes
299,Prenatal paracetamol exposure and neurodevelopmental outcomes in preschool-aged children.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Julien,Agata,Yes
304,Neonatal thyroid-stimulating hormone and association with attention-deficit/hyperactivity disorder.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Agata,Julien,Yes
322,Early life risk factors for childhood obesity-Does physical activity modify the associations? The MoBa cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Agata,Julien,Yes
344,Prenatal Particulate Air Pollution and DNA Methylation in Newborns: An Epigenome-Wide Meta-Analysis.,no issues,Data synthesis - Meta-analysis.,No,No,no,no,no,no,yes,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Julien,Agata,Yes
370,Environmental Sustainability Perspectives of the Nordic Diet.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Julien,Agata,Yes
395,"Tourette syndrome in children in Norway (vol 139, pg 17, 2019).",other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Julien,Agata,Yes
398,The early-life exposome: Description and patterns in six European countries.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,Julien,Agata,Yes
437,Language difficulties and internalizing problems: Bidirectional associations from 18 months to 8 years among boys and girls.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,no statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Agata,Julien,Yes
483,Child temperament predicts the adiposity rebound. A 9-year prospective sibling control study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Julien,Agata,Yes
520,Genetic analysis of hyperemesis gravidarum reveals association with intracellular calcium release channel (RYR2).,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Julien,Agata,Yes
535,Maternal Psychosocial Stress Associates With Increased Risk of Asthma Development in Offspring.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Julien,Agata,Yes
574,Persistent organic pollutants and the association with maternal and infant thyroid homeostasis: a multipollutant assessment.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Julien,Agata,Yes
575,Impact of pre-pregnancy bmi on b vitamin and inflammatory status in early pregnancy: an observational cohort study.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Agata,Julien,Yes
577,Exercise in pregnancy: an association with placental weight?.,no issues,Secondary analysis of MoBa data,No,No,no,no,no,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Agata,Julien,Yes
581,Pre-conception and prenatal alcohol exposure from mothers and fathers drinking and head circumference: results from the norwegian mother-child study (moba).,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Julien,Agata,Yes
596,Novel application of statistical methods for analysis of multiple toxicants identifies DDT as a risk factor for early child behavioral problems.,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agata,Julien,No
597,Maternal Prepregnancy BMI and Risk of Cerebral Palsy in Offspring.,no issues,Secondary analysis of MoBa data,No,No,no,no,sensitivity,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Julien,Agata,Yes
605,Pregnancy outcomes after prenatal exposure to echinacea: the Norwegian Mother and Child Cohort Study.,no issues,Secondary analysis of MoBa data,No,No,no,no,power,no,no,statement says no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Julien,Agata,No
